#"Versus.0002" "r Id_vs_Vgs" "i Id_vs_Vgs"
2.30931 0.00976205 0
2.31031 0.00985065 0
2.31131 0.00993961 0
2.31231 0.0100289 0
2.31331 0.0101186 0
2.31431 0.0102086 0
2.31532 0.010299 0
2.31632 0.0103897 0
2.31732 0.0104808 0
2.31832 0.0105723 0
2.31932 0.0106641 0
2.32032 0.0107562 0
2.32132 0.0108487 0
2.32232 0.0109416 0
2.32332 0.0110348 0
2.32432 0.0111284 0
2.32533 0.0112223 0
2.32633 0.0113165 0
2.32733 0.0114111 0
2.32833 0.0115061 0
2.32933 0.0116014 0
2.33033 0.0116971 0
2.33133 0.0117931 0
2.33233 0.0118894 0
2.33333 0.0119861 0
2.33433 0.0120831 0
2.33534 0.0121805 0
2.33634 0.0122783 0
2.33734 0.0123763 0
2.33834 0.0124748 0
2.33934 0.0125735 0
2.34034 0.0126726 0
2.34134 0.0127721 0
2.34234 0.0128719 0
2.34334 0.012972 0
2.34434 0.0130725 0
2.34535 0.0131733 0
2.34635 0.0132744 0
2.34735 0.0133759 0
2.34835 0.0134778 0
2.34935 0.0135799 0
2.35035 0.0136825 0
2.35135 0.0137853 0
2.35235 0.0138885 0
2.35335 0.013992 0
2.35435 0.0140959 0
2.35536 0.0142001 0
2.35636 0.0143046 0
2.35736 0.0144095 0
2.35836 0.0145147 0
2.35936 0.0146202 0
2.36036 0.0147261 0
2.36136 0.0148323 0
2.36236 0.0149388 0
2.36336 0.0150457 0
2.36436 0.0151529 0
2.36537 0.0152604 0
2.36637 0.0153683 0
2.36737 0.0154764 0
2.36837 0.015585 0
2.36937 0.0156938 0
2.37037 0.015803 0
2.37137 0.0159125 0
2.37237 0.0160223 0
2.37337 0.0161325 0
2.37437 0.016243 0
2.37538 0.0163538 0
2.37638 0.016465 0
2.37738 0.0165764 0
2.37838 0.0166882 0
2.37938 0.0168004 0
2.38038 0.0169128 0
2.38138 0.0170256 0
2.38238 0.0171387 0
2.38338 0.0172521 0
2.38438 0.0173658 0
2.38539 0.0174799 0
2.38639 0.0175943 0
2.38739 0.017709 0
2.38839 0.017824 0
2.38939 0.0179394 0
2.39039 0.018055 0
2.39139 0.018171 0
2.39239 0.0182873 0
2.39339 0.018404 0
2.39439 0.0185209 0
2.3954 0.0186382 0
2.3964 0.0187558 0
2.3974 0.0188737 0
2.3984 0.0189919 0
2.3994 0.0191104 0
2.4004 0.0192293 0
2.4014 0.0193484 0
2.4024 0.0194679 0
2.4034 0.0195877 0
2.4044 0.0197078 0
2.40541 0.0198282 0
2.40641 0.019949 0
2.40741 0.02007 0
2.40841 0.0201914 0
2.40941 0.0203131 0
2.41041 0.0204351 0
2.41141 0.0205574 0
2.41241 0.02068 0
2.41341 0.0208029 0
2.41441 0.0209261 0
2.41542 0.0210497 0
2.41642 0.0211735 0
2.41742 0.0212977 0
2.41842 0.0214221 0
2.41942 0.0215469 0
2.42042 0.021672 0
2.42142 0.0217974 0
2.42242 0.0219231 0
2.42342 0.0220491 0
2.42442 0.0221754 0
2.42543 0.022302 0
2.42643 0.022429 0
2.42743 0.0225562 0
2.42843 0.0226837 0
2.42943 0.0228116 0
2.43043 0.0229397 0
2.43143 0.0230682 0
2.43243 0.0231969 0
2.43343 0.023326 0
2.43443 0.0234553 0
2.43544 0.023585 0
2.43644 0.0237149 0
2.43744 0.0238452 0
2.43844 0.0239758 0
2.43944 0.0241066 0
2.44044 0.0242378 0
2.44144 0.0243692 0
2.44244 0.024501 0
2.44344 0.0246331 0
2.44444 0.0247654 0
2.44545 0.0248981 0
2.44645 0.025031 0
2.44745 0.0251643 0
2.44845 0.0252978 0
2.44945 0.0254317 0
2.45045 0.0255658 0
2.45145 0.0257003 0
2.45245 0.025835 0
2.45345 0.02597 0
2.45445 0.0261053 0
2.45546 0.026241 0
2.45646 0.0263769 0
2.45746 0.0265131 0
2.45846 0.0266496 0
2.45946 0.0267864 0
2.46046 0.0269234 0
2.46146 0.0270608 0
2.46246 0.0271985 0
2.46346 0.0273364 0
2.46446 0.0274747 0
2.46547 0.0276132 0
2.46647 0.0277521 0
2.46747 0.0278912 0
2.46847 0.0280306 0
2.46947 0.0281703 0
2.47047 0.0283103 0
2.47147 0.0284506 0
2.47247 0.0285911 0
2.47347 0.028732 0
2.47447 0.0288731 0
2.47548 0.0290145 0
2.47648 0.0291563 0
2.47748 0.0292983 0
2.47848 0.0294405 0
2.47948 0.0295831 0
2.48048 0.029726 0
2.48148 0.0298691 0
2.48248 0.0300125 0
2.48348 0.0301563 0
2.48448 0.0303003 0
2.48549 0.0304445 0
2.48649 0.0305891 0
2.48749 0.0307339 0
2.48849 0.0308791 0
2.48949 0.0310245 0
2.49049 0.0311702 0
2.49149 0.0313161 0
2.49249 0.0314624 0
2.49349 0.0316089 0
2.49449 0.0317558 0
2.4955 0.0319028 0
2.4965 0.0320502 0
2.4975 0.0321979 0
2.4985 0.0323458 0
2.4995 0.032494 0
2.5005 0.0326425 0
2.5015 0.0327913 0
2.5025 0.0329403 0
2.5035 0.0330897 0
2.5045 0.0332393 0
2.50551 0.0333891 0
2.50651 0.0335393 0
2.50751 0.0336897 0
2.50851 0.0338404 0
2.50951 0.0339914 0
2.51051 0.0341427 0
2.51151 0.0342942 0
2.51251 0.034446 0
2.51351 0.0345981 0
2.51451 0.0347504 0
2.51552 0.0349031 0
2.51652 0.035056 0
2.51752 0.0352091 0
2.51852 0.0353626 0
2.51952 0.0355163 0
2.52052 0.0356703 0
2.52152 0.0358246 0
2.52252 0.0359791 0
2.52352 0.0361339 0
2.52452 0.036289 0
2.52553 0.0364443 0
2.52653 0.0365999 0
